connective	sense	class	weight	year	freq	z_freq
although	Comparison	Contrast	0.043	1840	0.35641324	-0.211559477654595
and	Comparison	Concession	3e-04	1840	0.0030935151	-0.212434765800861
and	Comparison	Contrast	0.0025	1840	0.2148274375	-0.211910231846546
as	Comparison	Concession	0.0083	1840	0.5666161166	-0.211038736599872
as	Comparison	Contrast	0.0071	1840	0.4146192254	-0.211415282452709
as	Comparison	Similarity	0.0077	1840	0.4876566926	-0.211234344835112
but	Comparison	Concession	0.821	1840	3755.72274995	9.09170724581351
but	Comparison	Contrast	0.165	1840	151.69633875	0.163358856987241
by	Comparison	Concession	0.0023	1840	0.0325534433	-0.212361783954318
conversely	Comparison	Contrast	1	1840	0.32	-0.211649685121354
despite	Comparison	Concession	1	1840	11.07	-0.185018430455291
for	Comparison	Concession	0.0166	1840	1.9517859688	-0.207607219289203
however	Comparison	Concession	0.8045	1840	308.7693646675	0.55247995041775
however	Comparison	Contrast	0.1945	1840	18.0476773675	-0.167732448785383
if	Comparison	Concession+SpeechAct	8e-04	1840	0.0015837824	-0.212438505900955
if	Comparison	Concession	0.0078	1840	0.1505583144	-0.212069447417192
if	Comparison	Contrast	0.0017	1840	0.0071517674	-0.212424712186861
indeed	Comparison	Concession	0.009708738	1840	0.036542559228489	-0.212351901613649
like	Comparison	Contrast	0.2	1840	1.8724	-0.207803884214973
like	Comparison	Similarity	0.6	1840	16.8516	-0.170695522364379
meanwhile	Comparison	Concession	0.01302083	1840	0.00625270947222263	-0.212426939446454
meanwhile	Comparison	Contrast	0.1223958	1840	0.552489390909763	-0.211073733104937
meanwhile	Comparison	Similarity	0.005208333	1840	0.00100043389972223	-0.212439951045371
nevertheless	Comparison	Concession	0.7272727	1840	24.8595022677686	-0.150857337747273
nevertheless	Comparison	Contrast	0.2727273	1840	3.49586846776863	-0.203782023544511
nonetheless	Comparison	Concession	0.9259259	1840	0	-0.212442429446297
nonetheless	Comparison	Contrast	0.07407407	1840	0	-0.212442429446297
nor	Comparison	Concession	0.02941176	1840	0.457344144307278	-0.211309438899592
only	Comparison	Concession	0.2857143	1840	110.754296789715	0.0619320713134754
only	Comparison	Contrast	0.1428571	1840	27.6885548154311	-0.143848852271881
or	Comparison	Concession	0.03089888	1840	3.88962350653428	-0.202806563943263
regardless	Comparison	Concession	1	1840	8.03	-0.192549501542252
similarly	Comparison	Similarity	1	1840	3.23	-0.204440666416401
still	Comparison	Concession	0.5958549	1840	262.930689886606	0.438922608869395
still	Comparison	Contrast	0.388601	1840	111.832511541573	0.0646031607684927
though	Comparison	Concession	0.9319149	1840	647.76227360863	1.39227590278989
though	Comparison	Contrast	0.06808511	1840	3.45754169828274	-0.203876971447646
whatever	Comparison	Concession	1	1840	166.19	0.199264381060952
when	Comparison	Concession	0.003724395	1840	0.0319270138564736	-0.212363335824275
when	Comparison	Contrast	0.001396648	1840	0.00448973551990388	-0.212431306907691
whereas	Comparison	Contrast	1	1840	17.59	-0.168866264834572
whether	Comparison	Concession	1	1840	299.49	0.529491938920126
