Phrase	Year	Frequency	Corpus	sense	class	weight	Weighted_Frequency
additionally	2017	2.43072194431685e-06	eng_2019	Expansion	Conjunction	1	2.43072194431685e-06
additionally	1979	2.22162884710997e-06	eng_2019	Expansion	Conjunction	1	2.22162884710997e-06
additionally	1990	2.23241961196306e-06	eng_2019	Expansion	Conjunction	1	2.23241961196306e-06
additionally	1968	1.51988711292818e-06	eng_2019	Expansion	Conjunction	1	1.51988711292818e-06
additionally	1952	7.48101025952305e-07	eng_2019	Expansion	Conjunction	1	7.48101025952305e-07
additionally	1984	2.26634620048571e-06	eng_2019	Expansion	Conjunction	1	2.26634620048571e-06
additionally	1935	3.99880170626992e-07	eng_2019	Expansion	Conjunction	1	3.99880170626992e-07
additionally	2016	2.43842496924377e-06	eng_2019	Expansion	Conjunction	1	2.43842496924377e-06
additionally	1957	9.90513699759634e-07	eng_2019	Expansion	Conjunction	1	9.90513699759634e-07
additionally	1978	2.19865056091554e-06	eng_2019	Expansion	Conjunction	1	2.19865056091554e-06
additionally	1940	4.66197905422762e-07	eng_2019	Expansion	Conjunction	1	4.66197905422762e-07
additionally	2010	2.33688206208171e-06	eng_2019	Expansion	Conjunction	1	2.33688206208171e-06
additionally	1847	3.89542382858313e-07	eng_2019	Expansion	Conjunction	1	3.89542382858313e-07
additionally	1983	2.24903718455088e-06	eng_2019	Expansion	Conjunction	1	2.24903718455088e-06
additionally	1972	1.87591144497544e-06	eng_2019	Expansion	Conjunction	1	1.87591144497544e-06
additionally	1852	4.1594106343317e-07	eng_2019	Expansion	Conjunction	1	4.1594106343317e-07
additionally	1977	2.17277079173073e-06	eng_2019	Expansion	Conjunction	1	2.17277079173073e-06
additionally	1939	4.51908265729019e-07	eng_2019	Expansion	Conjunction	1	4.51908265729019e-07
additionally	1884	3.52222514266032e-07	eng_2019	Expansion	Conjunction	1	3.52222514266032e-07
additionally	1961	1.17025040578613e-06	eng_2019	Expansion	Conjunction	1	1.17025040578613e-06
additionally	1982	2.23834825062243e-06	eng_2019	Expansion	Conjunction	1	2.23834825062243e-06
additionally	1835	4.69858995139865e-07	eng_2019	Expansion	Conjunction	1	4.69858995139865e-07
additionally	1905	3.1624872219384e-07	eng_2019	Expansion	Conjunction	1	3.1624872219384e-07
additionally	1851	4.30013005013409e-07	eng_2019	Expansion	Conjunction	1	4.30013005013409e-07
additionally	1987	2.26469234933445e-06	eng_2019	Expansion	Conjunction	1	2.26469234933445e-06
additionally	1840	3.66763288184302e-07	eng_2019	Expansion	Conjunction	1	3.66763288184302e-07
additionally	2019	2.54173272651315e-06	eng_2019	Expansion	Conjunction	1	2.54173272651315e-06
additionally	1981	2.2148262490061e-06	eng_2019	Expansion	Conjunction	1	2.2148262490061e-06
additionally	1932	3.54533207363212e-07	eng_2019	Expansion	Conjunction	1	3.54533207363212e-07
additionally	2013	2.34692596937488e-06	eng_2019	Expansion	Conjunction	1	2.34692596937488e-06
additionally	1954	8.38927633139974e-07	eng_2019	Expansion	Conjunction	1	8.38927633139974e-07
additionally	1965	1.35471579402032e-06	eng_2019	Expansion	Conjunction	1	1.35471579402032e-06
additionally	1937	4.18049024476984e-07	eng_2019	Expansion	Conjunction	1	4.18049024476984e-07
additionally	1975	2.11754110880845e-06	eng_2019	Expansion	Conjunction	1	2.11754110880845e-06
additionally	1959	1.08105558638272e-06	eng_2019	Expansion	Conjunction	1	1.08105558638272e-06
additionally	1991	2.21475413906904e-06	eng_2019	Expansion	Conjunction	1	2.21475413906904e-06
additionally	1969	1.61468606815366e-06	eng_2019	Expansion	Conjunction	1	1.61468606815366e-06
additionally	1989	2.24275575939308e-06	eng_2019	Expansion	Conjunction	1	2.24275575939308e-06
additionally	1967	1.46010498675813e-06	eng_2019	Expansion	Conjunction	1	1.46010498675813e-06
additionally	1996	2.28523520360925e-06	eng_2019	Expansion	Conjunction	1	2.28523520360925e-06
additionally	1974	2.05669505248807e-06	eng_2019	Expansion	Conjunction	1	2.05669505248807e-06
additionally	1958	1.02558407531563e-06	eng_2019	Expansion	Conjunction	1	1.02558407531563e-06
additionally	2015	2.42228877920882e-06	eng_2019	Expansion	Conjunction	1	2.42228877920882e-06
additionally	1941	4.87442036956054e-07	eng_2019	Expansion	Conjunction	1	4.87442036956054e-07
additionally	1988	2.26429330853404e-06	eng_2019	Expansion	Conjunction	1	2.26429330853404e-06
additionally	1963	1.25068043286904e-06	eng_2019	Expansion	Conjunction	1	1.25068043286904e-06
additionally	1995	2.26377038156248e-06	eng_2019	Expansion	Conjunction	1	2.26377038156248e-06
additionally	1973	1.96608891656069e-06	eng_2019	Expansion	Conjunction	1	1.96608891656069e-06
additionally	1933	3.69925341406737e-07	eng_2019	Expansion	Conjunction	1	3.69925341406737e-07
additionally	2014	2.3803987525233e-06	eng_2019	Expansion	Conjunction	1	2.3803987525233e-06
additionally	1955	8.85136996333001e-07	eng_2019	Expansion	Conjunction	1	8.85136996333001e-07
additionally	1944	5.48889797106053e-07	eng_2019	Expansion	Conjunction	1	5.48889797106053e-07
additionally	1962	1.20790722186419e-06	eng_2019	Expansion	Conjunction	1	1.20790722186419e-06
additionally	1976	2.14653180462067e-06	eng_2019	Expansion	Conjunction	1	2.14653180462067e-06
additionally	1934	3.88040762443e-07	eng_2019	Expansion	Conjunction	1	3.88040762443e-07
additionally	1992	2.20698257180629e-06	eng_2019	Expansion	Conjunction	1	2.20698257180629e-06
additionally	1956	9.36103195467045e-07	eng_2019	Expansion	Conjunction	1	9.36103195467045e-07
additionally	1943	5.25611385780524e-07	eng_2019	Expansion	Conjunction	1	5.25611385780524e-07
additionally	1966	1.40333466853398e-06	eng_2019	Expansion	Conjunction	1	1.40333466853398e-06
additionally	1997	2.29367950461372e-06	eng_2019	Expansion	Conjunction	1	2.29367950461372e-06
additionally	1948	6.25189987398958e-07	eng_2019	Expansion	Conjunction	1	6.25189987398958e-07
additionally	1946	5.78058705156894e-07	eng_2019	Expansion	Conjunction	1	5.78058705156894e-07
additionally	1993	2.21767079113176e-06	eng_2019	Expansion	Conjunction	1	2.21767079113176e-06
additionally	1942	5.07472240737375e-07	eng_2019	Expansion	Conjunction	1	5.07472240737375e-07
additionally	1994	2.24367844176803e-06	eng_2019	Expansion	Conjunction	1	2.24367844176803e-06
additionally	1938	4.37060833746727e-07	eng_2019	Expansion	Conjunction	1	4.37060833746727e-07
additionally	1998	2.31524979556395e-06	eng_2019	Expansion	Conjunction	1	2.31524979556395e-06
additionally	1960	1.12223892756447e-06	eng_2019	Expansion	Conjunction	1	1.12223892756447e-06
additionally	1950	6.73321876222742e-07	eng_2019	Expansion	Conjunction	1	6.73321876222742e-07
additionally	1970	1.70227531270939e-06	eng_2019	Expansion	Conjunction	1	1.70227531270939e-06
additionally	1951	7.14936642712668e-07	eng_2019	Expansion	Conjunction	1	7.14936642712668e-07
additionally	1971	1.78245992239161e-06	eng_2019	Expansion	Conjunction	1	1.78245992239161e-06
additionally	1949	6.48638993944977e-07	eng_2019	Expansion	Conjunction	1	6.48638993944977e-07
